x,y,yR,yn,yRecTV,yRecTV2,yRecTV1p2,yRecTVR
0.222,2.2970822828223993,2.2970822828223993,2.195122359155821,2.3180713814764697,2.286215331177887,2.288685504353093,2.318071370665707
0.224,2.305225290980504,2.305225290980504,2.393233739292739,2.3182522508223853,2.2939664135693603,2.2959636885366406,2.318252240011622
0.226,2.3127651133491196,2.3127651133491196,2.4977653282196774,2.3182522508223853,2.301717495960834,2.3032418727201875,2.318252240011622
0.228,2.319701749928246,2.319701749928246,2.038531784445641,2.3184564328631305,2.3089379180172864,2.3101361350233915,2.3184564220523676
0.23,2.326035200717883,2.326035200717883,2.794559097653395,2.3184564328631305,2.316069071072456,2.3169138278452355,2.3184564220523676
0.232,2.3317654657180307,2.3317654657180307,2.549740381786872,2.3185651728932215,2.323200224127626,2.32369152066708,2.3185651620824586
0.234,2.336892544928689,2.336892544928689,2.2475006048545887,2.3185651728932215,2.3301747158285,2.330257201464628,2.3185651620824586
0.236,2.3414164383498584,2.3414164383498584,2.430592433901165,2.3185561833579156,2.3372853606910566,2.336834845782912,2.3185561725471526
0.238,2.3453371459815386,2.3453371459815386,1.9919934509553567,2.3185561833579156,2.3443960055536133,2.343412490101196,2.3185561725471526
0.24,2.3486546678237294,2.3486546678237294,2.2209230305643555,2.318607147414281,2.3517846980843413,2.3500264185498256,2.318607136603518
0.242,2.3513690038764308,2.3513690038764308,1.9420331617332072,2.318607147414281,2.3595229841929712,2.3567918351483113,2.318607136603518
0.244,2.353480154139643,2.353480154139643,2.392859503737863,2.3775204379982022,2.367261270301601,2.363557251746797,2.3775204070196567
0.246,2.3549881186133663,2.3549881186133663,2.362931357670795,2.3775204379982022,2.375680409500493,2.370619391578396,2.3775204070196567
0.248,2.3558928972976,2.3558928972976,2.417565920049956,2.3845320777011327,2.3845866536136597,2.3779296379752206,2.3845320332405775
0.25,2.356194490192345,2.356194490192345,2.625097708998908,2.3845320777011327,2.393492897726827,2.3852398843720453,2.3845320332405775
0.252,2.3813272314210634,2.3813272314210634,2.1541150644725446,2.3847554884448496,2.403319205082565,2.393008094373605,2.3847554439842944
0.254,2.4064599726497815,2.4064599726497815,2.3397695632056137,2.3847554884448496,2.4235263042385,2.415609042058287,2.3847554439842944
0.256,2.4315927138785,2.4315927138785,2.6394241846160975,2.5245570806846835,2.444386909141738,2.438539916185236,2.5245559852886554
0.258,2.456725455107218,2.456725455107218,2.482916804634626,2.5245570806846835,2.466178481091414,2.461936317653345,2.5245559852886554
