x,y,yR,yn,yRecTV,yRecTV2,yRecTV1p2,yRecTVR
0.286,2.808583832309275,2.808583832309275,3.0698756520051016,2.8027812914277037,2.8037269881869022,2.8058433747655513,2.758010754600998
0.288,2.833716573537993,2.833716573537993,2.6907262090661126,2.8029429784082343,2.8291957911590657,2.8311281665866934,2.758144262582539
0.29,2.8588493147667116,2.8588493147667116,2.646572441194391,2.8029429784082343,2.8546761346430305,2.856428994489693,2.758144262582539
0.292,2.8839820559954297,2.8839820559954297,3.1130424746161487,2.8030562154505914,2.8801564781269953,2.881729822392693,2.758201146471592
0.294,2.9091147972241482,2.9091147972241482,2.529224831160029,2.8030562154505914,2.905671548669326,2.907068284426065,2.758201146471592
0.296,2.934247538452867,2.934247538452867,2.610014104248413,2.8032185670062533,2.9311701196934723,2.9324102323114247,2.758278980404274
0.298,2.959380279681585,2.959380279681585,2.9983887300522034,2.91539221793635,2.9566686907176187,2.9577521801967843,2.758278980404274
0.3,2.9845130209103035,2.9845130209103035,3.0776029156723737,2.9155893867354186,2.9821460722072044,2.9831063613605626,2.7583280645840995
0.302,3.0096457621390216,3.0096457621390216,2.8947972248848766,2.9155893867354186,3.007604240000653,3.0084622041050735,2.7583280645840995
0.304,3.03477850336774,3.03477850336774,2.782724341704511,2.915772219602524,3.0330624077941013,3.0338180468495843,2.758263854240946
0.306,3.0599112445964582,3.0599112445964582,3.069943606239226,2.915772219602524,3.058491693728379,3.059180949397138,2.758263854240946
0.308,3.085043985825177,3.085043985825177,2.669730822794206,2.9159935031195805,3.083916563354595,3.0845496597094773,2.7581391784262355
0.31,3.1101767270538954,3.1101767270538954,2.999505898040408,2.9997101429053634,3.109341432980811,3.1099183700218163,2.7581391784262355
0.312,3.1353094682826135,3.1353094682826135,-2.8977631601416083,-3.101679431862295,3.134762899306593,3.135300057620137,-2.2567286450430704
0.314,-3.122743097668254,3.160442209511332,-3.1190185987296286,-3.101679431862295,-3.122984157631827,-3.122493750579351,-2.2567286450430704
0.316,-3.097610356439536,3.18557495074005,3.0761550719277744,-3.1014883655556753,-3.0975459073906593,-3.097102251599252,1.5728306031426917
0.318,-3.0724776152108175,3.2107076919687687,-3.0951847182071783,-3.1014883655556753,-3.072073802315779,-3.0716924781542967,-1.5918602494220957
0.32,-3.047344873982099,3.2358404331974873,3.1066073265336533,-3.1012670830516926,-3.046569602700333,-3.0462752094432797,1.6032828577485707
0.322,-3.0222121327533813,3.260973174426205,-2.90772741437366,-3.1012670830516926,-3.021065403084887,-3.020857940732263,-1.4044029455885771
0.324,-2.9970793915246627,3.2861059156549235,2.976877468589625,-3.101033213935323,-2.9955019256560607,-2.9954294905258267,1.4735529998045422
0.326,-2.971946650295944,3.311238656883642,-2.959431485696339,-2.9596851946385825,-2.969908114441277,-2.9700070687942697,-2.693555126401861
0.328,-2.9468139090672256,3.3363713981123606,-2.56540609913941,-2.840827817029215,-2.944314303226494,-2.9445846470627126,-2.693769111535488
0.33,-2.921681167838507,3.361504139341079,-3.0244506195375886,-2.840827817029215,-2.9186689957333942,-2.9191797345254615,-2.693769111535488
0.332,-2.8965484266097894,3.386636880569797,-2.92973373822116,-2.8406352997176767,-2.893020071943245,-2.8938079812260047,-2.693872383370788
0.334,-2.871415685381071,3.4117696217985154,-2.5615234202658965,-2.8254272291464004,-2.867371148153096,-2.868436227926548,-2.693872383370788
0.336,-2.8462829441523523,3.436902363027234,-3.088355259517016,-2.8251916096973813,-2.8417266087552826,-2.843136621615014,-2.6938452866907143
0.338,-2.8211502029236337,3.4620351042559525,-2.8147905029873668,-2.8149580442622835,-2.816132984499176,-2.8179100233322485,-2.6938452866907143
0.34,-2.796017461694915,3.487167845484671,-2.8031370304402374,-2.8027535903044454,-2.7905393602430695,-2.7926834250494834,-2.6937406347050254
0.342,-2.7708847204661975,3.5123005867133887,-2.369657691927061,-2.7437961386546337,-2.765059214197444,-2.7676075561417743,-2.6937406347050254
0.344,-2.74575197923748,3.5374333279421064,-2.861307329316435,-2.7436008164378753,-2.739709237451274,-2.742652910770514,-2.6936242350735227
0.346,-2.7206192380087613,3.562566069170825,-2.7059632928190207,-2.7436008164378753,-2.714359260705104,-2.717698265399254,-2.6936242350735227
